CAREHOME_id	Box_id	caseload_month	wmd.caseload_yr -8	caseload_size	Days_Since_Last_Reading	observ_month	wmd.observ_yr -8	BP	Pulse	O2	Temp	NEWS2(0-4)	NEWS2(5-6)	NEWS2(7+)	NEWS2
XM2AN1	BOX164	JULY 	2013	5	0	JULY 	2013	0	0	0	0	0	0	0	0
XM2AN1	BOX165	JULY 	2013	7	117	JULY 	2013	0	0	0	0	0	0	0	0
XL2CV1	BOX166	JULY 	2013	15	118	JULY 	2013	0	0	0	0	0	0	0	0
XM5A81	BOX167	JULY 	2013	0	0	JULY 	2013	0	0	0	0	0	0	0	0
XL2DF1	BOX168	JULY 	2013	20	109	JULY 	2013	0	0	0	0	0	0	0	0
XLRWW1	BOX169	JULY 	2013	0	0	JULY 	2013	0	0	0	0	0	0	0	0
XL2DQ1	BOX170	JULY 	2013	8	55	JULY 	2013	0	0	0	0	0	0	0	0
XL2DQ1	BOX171	JULY 	2013	6	34	JULY 	2013	0	0	0	0	0	0	0	0
XLKL41	BOX172	JULY 	2013	1	152	JULY 	2013	0	0	0	0	0	0	0	0
XLKL41	BOX173	JULY 	2013	0	0	JULY 	2013	0	0	0	0	0	0	0	0
XLKL41	BOX174	JULY 	2013	0	0	JULY 	2013	0	0	0	0	0	0	0	0
XLKL41	BOX175	JULY 	2013	0	0	JULY 	2013	0	0	0	0	0	0	0	0
XLKL41	BOX176	JULY 	2013	0	0	JULY 	2013	0	0	0	0	0	0	0	0
XL2ER1	BOX177	JULY 	2013	7	0	JULY 	2013	0	0	0	0	0	0	0	0
XL2ER1	BOX178	JULY 	2013	16	0	JULY 	2013	0	0	0	0	0	0	0	0
XL2ER1	BOX179	JULY 	2013	16	0	JULY 	2013	0	0	0	0	0	0	0	0
XM0GT1	BOX180	JULY 	2013	27	52	JULY 	2013	0	0	0	0	0	0	0	0
XL2EC1	BOX181	JULY 	2013	11	0	JULY 	2013	0	0	0	0	0	0	0	0
XL2EC1	BOX182	JULY 	2013	2	0	JULY 	2013	0	0	0	0	0	0	0	0
XL2EC1	BOX183	JULY 	2013	9	0	JULY 	2013	0	0	0	0	0	0	0	0
XN5X51	BOX184	JULY 	2013	5	41	JULY 	2013	0	0	0	0	0	0	0	0
XM61M1	BOX185	JULY 	2013	5	66	JULY 	2013	0	0	0	0	0	0	0	0
XL2EL1	BOX186	JULY 	2013	6	0	JULY 	2013	0	0	0	0	0	0	0	0
XL2EL1	BOX187	JULY 	2013	6	0	JULY 	2013	0	0	0	0	0	0	0	0
XLXKP1	BOX188	JULY 	2013	7	0	JULY 	2013	0	0	0	0	0	0	0	0
XM6FM1	BOX189	JULY 	2013	0	0	JULY 	2013	0	0	0	0	0	0	0	0
XM1PG1	BOX190	JULY 	2013	27	66	JULY 	2013	0	0	0	0	0	0	0	0
XL2FD1	BOX191	JULY 	2013	8	0	JULY 	2013	20	69	49	441	4	4	0	8
XLXTY1	BOX192	JULY 	2013	4	0	JULY 	2013	5	9	4	4	0	0	0	0
XLWF61	BOX193	JULY 	2013	16	22	JULY 	2013	14	28	14	14	0	0	0	0
XL5YG1	BOX194	JULY 	2013	14	114	JULY 	2013	0	0	0	0	0	0	0	0
XL2L31	BOX195	JULY 	2013	3	8	JULY 	2013	5	8	3	6	0	0	0	0
XM19J1	BOX196	JULY 	2013	3	173	JULY 	2013	0	0	0	0	0	0	0	0
XL2H81	BOX197	JULY 	2013	0	0	JULY 	2013	0	0	0	0	0	0	0	0
XL2HD1	BOX198	JULY 	2013	4	87	JULY 	2013	0	0	0	0	0	0	0	0
XL2HD1	BOX199	JULY 	2013	4	0	JULY 	2013	0	0	0	0	0	0	0	0
XM92X1	BOX200	JULY 	2013	17	89	JULY 	2013	0	0	0	0	0	0	0	0
XL2HK1	BOX201	JULY 	2013	29	116	JULY 	2013	0	0	0	0	0	0	0	0
XL2HK1	BOX202	JULY 	2013	28	116	JULY 	2013	0	0	0	0	0	0	0	0
XL2HK1	BOX203	JULY 	2013	26	0	JULY 	2013	0	0	0	0	0	0	0	0
XL2HK1	BOX204	JULY 	2013	26	118	JULY 	2013	0	0	0	0	0	0	0	0
XL2HK1	BOX205	JULY 	2013	21	116	JULY 	2013	0	0	0	0	0	0	0	0
XM1PG1	BOX206	JULY 	2013	1	160	JULY 	2013	0	0	0	0	0	0	0	0
XNJ4J1	BOX207	JULY 	2013	13	122	JULY 	2013	0	0	0	0	0	0	0	0
XL2J01	BOX208	JULY 	2013	18	24	JULY 	2013	9	19	10	8	9	0	0	9
XL2J11	BOX209	JULY 	2013	0	0	JULY 	2013	0	0	0	0	0	0	0	0
XM5JP1	BOX210	JULY 	2013	6	1	JULY 	2013	10	21	11	10	2	2	1	5
XL2JA1	BOX211	JULY 	2013	7	55	JULY 	2013	0	0	0	0	0	0	0	0
XL2JF1	BOX212	JULY 	2013	8	1	JULY 	2013	12	405	393	378	0	0	0	0
XL2JL1	BOX213	JULY 	2013	17	78	JULY 	2013	0	0	0	0	0	0	0	0
XL2JN1	BOX214	JULY 	2013	39	31	JULY 	2013	33	65	32	33	0	0	0	0
XM5FD1	BOX215	JULY 	2013	0	0	JULY 	2013	0	0	0	0	0	0	0	0
XM5FD1	BOX216	JULY 	2013	0	0	JULY 	2013	0	0	0	0	0	0	0	0
